cell_type,gene,num_hits,num_screens,gene_ensembl
BileDuct-Gastrointestinal,FAM86B1,1,1,ENSG00000186523
BileDuct-Gastrointestinal,NPIPA5,1,1,ENSG00000183793
BileDuct-Gastrointestinal,POLR2A,1,1,ENSG00000181222
BileDuct-Gastrointestinal,PRAMEF6,1,1,ENSG00000232423
BileDuct-Gastrointestinal,RGPD6,1,1,ENSG00000183054
BileDuct-Gastrointestinal,TRIM37,1,1,ENSG00000108395
Bone,ALG1L,1,6,
Bone,APPL2,1,6,ENSG00000136044
Bone,BCL2L2-PABPN1,1,6,ENSG00000258643
Bone,EARS2,1,6,ENSG00000103356
Bone,EIF3C,1,6,ENSG00000184110
Bone,EIF3CL,1,6,ENSG00000184110
Bone,ETFRF1,1,6,ENSG00000205707
Bone,FAM86B1,1,6,ENSG00000186523
Bone,HAL,1,6,ENSG00000084110
Bone,HIST2H3A,1,6,
Bone,NDUFA8,1,6,ENSG00000119421
Bone,NDUFC2-KCTD14,1,6,ENSG00000259112
Bone,PHGR1,1,6,ENSG00000233041
Bone,PRAMEF6,1,6,ENSG00000232423
Bone,RGPD6,1,6,ENSG00000183054
Bone,RPL21,1,6,ENSG00000122026
Bone,TBC1D3F,1,6,ENSG00000275954
Bone,TBC1D3H,1,6,ENSG00000274226
Bone,POLR2A,3,6,ENSG00000181222
Bone,POLR2J,3,6,ENSG00000005075
Bone,TBC1D3C,3,6,ENSG00000274611
Bone-Connective,CARS2,1,17,ENSG00000134905
Bone-Connective,CBWD3,1,17,
Bone-Connective,CDH11,1,17,ENSG00000140937
Bone-Connective,DDX19A,1,17,ENSG00000168872
Bone-Connective,FLI1,1,17,ENSG00000151702
Bone-Connective,FPGS,1,17,ENSG00000136877
Bone-Connective,HIST1H2AJ,1,17,
Bone-Connective,HIST2H3D,1,17,
Bone-Connective,HSP90AB1,1,17,ENSG00000096384
Bone-Connective,IFNA21,1,17,ENSG00000137080
Bone-Connective,IGF1R,1,17,ENSG00000140443
Bone-Connective,IL1B,1,17,ENSG00000125538
Bone-Connective,LIG1,1,17,ENSG00000105486
Bone-Connective,MDM2,1,17,ENSG00000135679
Bone-Connective,NPM1,1,17,ENSG00000181163
Bone-Connective,NUP35,1,17,ENSG00000163002
Bone-Connective,PLGLB2,1,17,ENSG00000125551
Bone-Connective,TMA7,1,17,ENSG00000232112
Bone-Connective,TRIM37,1,17,ENSG00000108395
Bone-Connective,TRIM8,1,17,ENSG00000171206
Bone-Connective,TYMS,1,17,ENSG00000176890
Bone-Connective,USP14,1,17,ENSG00000101557
Bone-Connective,VCY,1,17,ENSG00000129864
Bone-Connective,ALG1L,2,17,
Bone-Connective,FURIN,2,17,ENSG00000140564
Bone-Connective,STAG1,2,17,ENSG00000118007
Bone-Connective,RPSA,4,17,ENSG00000168028
Bone-Connective,TBC1D3F,4,17,ENSG00000275954
Bone-Connective,BCL2L2-PABPN1,5,17,ENSG00000258643
Bone-Connective,FAM86B1,5,17,ENSG00000186523
Bone-Connective,LCE1E,5,17,ENSG00000186226
Bone-Connective,LIN37,5,17,ENSG00000267796
Bone-Connective,WDR59,5,17,ENSG00000103091
Bone-Connective,ASH2L,6,17,ENSG00000129691
