GeneID	Symbol	EnsemblID
7157	TP53	ENSG00000141510
1956	EGFR	ENSG00000146648
348	APOE	ENSG00000130203
7124	TNF	ENSG00000232810
7422	VEGFA	ENSG00000112715
3569	IL6	ENSG00000136244
7040	TGFB1	ENSG00000105329
4524	MTHFR	ENSG00000177000
2064	ERBB2	ENSG00000141736
3091	HIF1A	ENSG00000100644
2099	ESR1	ENSG00000091831
3586	IL10	ENSG00000136634
351	APP	ENSG00000142192
1636	ACE	ENSG00000159640
6774	STAT3	ENSG00000168610
672	BRCA1	ENSG00000012048
3845	KRAS	ENSG00000133703
627	BDNF	ENSG00000176697
673	BRAF	ENSG00000157764
4318	MMP9	ENSG00000100985
1401	CRP	ENSG00000132693
367	AR	ENSG00000169083
9370	ADIPOQ	ENSG00000181092
7421	VDR	ENSG00000111424
207	AKT1	ENSG00000142208
5243	ABCB1	ENSG00000085563
4790	NFKB1	ENSG00000109320
29126	CD274	ENSG00000120217
3123	HLA-DRB1	ENSG00000196126
3553	IL1B	ENSG00000125538
1499	CTNNB1	ENSG00000168036
5728	PTEN	ENSG00000171862
1029	CDKN2A	ENSG00000147889
7099	TLR4	ENSG00000136869
6622	SNCA	ENSG00000145335
5743	PTGS2	ENSG00000073756
4846	NOS3	ENSG00000164867
1080	CFTR	ENSG00000001626
1312	COMT	ENSG00000093010
7015	TERT	ENSG00000164362
3576	CXCL8	ENSG00000169429
4609	MYC	ENSG00000136997
4137	MAPT	ENSG00000186868
5468	PPARG	ENSG00000132170
6532	SLC6A4	ENSG00000108576
2475	MTOR	ENSG00000198793
999	CDH1	ENSG00000039068
3479	IGF1	ENSG00000017427
3106	HLA-B	ENSG00000234745
596	BCL2	ENSG00000171791
3952	LEP	ENSG00000174697
7852	CXCR4	ENSG00000121966
675	BRCA2	ENSG00000139618
3458	IFNG	ENSG00000111537
2944	GSTM1	ENSG00000134184
4193	MDM2	ENSG00000135679
3717	JAK2	ENSG00000096968
4780	NFE2L2	ENSG00000116044
4313	MMP2	ENSG00000087245
3605	IL17A	ENSG00000112115
595	CCND1	ENSG00000110092
23411	SIRT1	ENSG00000096717
920	CD4	ENSG00000010610
406991	MIR21	ENSG00000284190
5594	MAPK1	ENSG00000100030
6347	CCL2	ENSG00000108691
5054	SERPINE1	ENSG00000106366
5290	PIK3CA	ENSG00000121879
5444	PON1	ENSG00000005421
1234	CCR5	ENSG00000160791
1026	CDKN1A	ENSG00000124762
4879	NPPB	ENSG00000120937
3146	HMGB1	ENSG00000189403
332	BIRC5	ENSG00000089685
6647	SOD1	ENSG00000142168
1493	CTLA4	ENSG00000163599
4851	NOTCH1	ENSG00000148400
960	CD44	ENSG00000026508
7097	TLR2	ENSG00000137462
472	ATM	ENSG00000149311
2950	GSTP1	ENSG00000084207
4233	MET	ENSG00000105976
2146	EZH2	ENSG00000106462
2147	F2	ENSG00000180210
6387	CXCL12	ENSG00000107562
3105	HLA-A	ENSG00000206503
1813	DRD2	ENSG00000149295
2908	NR3C1	ENSG00000113580
2153	F5	ENSG00000198734
3119	HLA-DQB1	ENSG00000179344
50943	FOXP3	ENSG00000049768
3815	KIT	ENSG00000157404
1557	CYP2C19	ENSG00000165841
3162	HMOX1	ENSG00000100292
6696	SPP1	ENSG00000118785
3077	HFE	ENSG00000010704
5133	PDCD1	ENSG00000188389
1565	CYP2D6	ENSG00000100197
3606	IL18	ENSG00000150782
120892	LRRK2	ENSG00000188906
3383	ICAM1	ENSG00000090339
5970	RELA	ENSG00000173039
59272	ACE2	ENSG00000130234
7515	XRCC1	ENSG00000073050
2100	ESR2	ENSG00000140009
154	ADRB2	ENSG00000169252
142	PARP1	ENSG00000143799
3135	HLA-G	ENSG00000204632
5925	RB1	ENSG00000139687
2932	GSK3B	ENSG00000082701
10413	YAP1	ENSG00000137693
355	FAS	ENSG00000026103
114548	NLRP3	ENSG00000162711
7450	VWF	ENSG00000110799
3480	IGF1R	ENSG00000140443
3565	IL4	ENSG00000113520
177	AGER	ENSG00000204305
79068	FTO	ENSG00000140718
1432	MAPK14	ENSG00000112062
335	APOA1	ENSG00000118137
857	CAV1	ENSG00000105974
5979	RET	ENSG00000165731
183	AGT	ENSG00000135744
