SCREEN_ID,SOURCE_ID,SOURCE_TYPE,AUTHOR,SCREEN_NAME,SCORES_SIZE,FULL_SIZE,FULL_SIZE_AVAILABLE,NUMBER_OF_HITS,ANALYSIS,SIGNIFICANCE_INDICATOR,SIGNIFICANCE_CRITERIA,THROUGHPUT,SCREEN_TYPE,SCREEN_FORMAT,EXPERIMENTAL_SETUP,DURATION,CONDITION_NAME,CONDITION_DOSAGE,MOI,LIBRARY,LIBRARY_TYPE,LIBRARY_METHODOLOGY,ENZYME,CELL_LINE,CELL_TYPE,PHENOTYPE,SCORE_COL_COUNT,SCORE.1_TYPE,SCORE.2_TYPE,SCORE.3_TYPE,SCORE.4_TYPE,SCORE.5_TYPE,ORGANISM_ID,ORGANISM_OFFICIAL,NOTES,SOURCE,SCREEN_RATIONALE,CELL_TYPE_BROAD
5,25307932,pubmed,Gilbert LA (2014),2-PMID25307932,15976,15976,Yes,1345,Log2 Fold Change (L2FC),Score Significance,Score.1 (Gamma (normalized log2e/t)) <= -0.1,High Throughput,Negative Selection,Pool,Timecourse,10 Days,NA,NA,< 1,"CRISPRi (Weissman, 2014)",CRISPRi,Inhibition,dCas9-KRAB,K-562,Chronic Myeloid Leukemia Cell Line,cell proliferation,1,Gamma (normalized log2e/t),NA,NA,NA,NA,9606,H. sapiens,inhibition of hit genes results in decreased fitness,BioGRID ORCS,Gene inhibition decreases fitness,Myeloid
6,25307932,pubmed,Gilbert LA (2014),3-PMID25307932,15977,15977,Yes,142,Log2 Fold Change (L2FC),Score Significance,Score.1 (Gamma (normalized log2e/t)) <= -0.1,High Throughput,Negative Selection,Pool,Timecourse,10 Days,NA,NA,< 1,"CRISPRa (Weissman, 2014)",CRISPRa,Activation,sunCas9,K-562,Chronic Myeloid Leukemia Cell Line,cell proliferation,1,Gamma (normalized log2e/t),NA,NA,NA,NA,9606,H. sapiens,activation of hit genes results in decreased fitness,BioGRID ORCS,Gene activation decreases fitness,Myeloid
16,26627737,pubmed,Hart T (2015),1-PMID26627737,17630,17630,Yes,2073,BAGEL,Score Significance,Score.1 (Bayes Factor) > 1.57,High Throughput,Negative Selection,Pool,Timecourse,18 Days,NA,NA,~ 0.3,TKO (Toronto Knockout) v1,CRISPRn,Knockout,Cas9,HCT-116,Colorectal Cancer Cell Line,cell proliferation,1,Bayes Factor,NA,NA,NA,NA,9606,H. sapiens,Genes with a Bayes Factor (BF) above the threshold of 1.57 at an FDR of 5% (FDR < 0.05) were identified as fitness genes (hits) for this cell line in this CRISPR screen.,BioGRID ORCS,Cell-essential genes,Gastrointestinal
17,26627737,pubmed,Hart T (2015),2-PMID26627737,17648,17648,Yes,1696,BAGEL,Score Significance,Score.1 (Bayes Factor) > 15.47,High Throughput,Negative Selection,Pool,Timecourse,18 Days,NA,NA,~ 0.3,TKO (Toronto Knockout) v1,CRISPRn,Knockout,Cas9,HeLa,Cervical Adenocarcinoma Cell Line,cell proliferation,1,Bayes Factor,NA,NA,NA,NA,9606,H. sapiens,Genes with a Bayes Factor (BF) above the threshold of 15.47 at an FDR of 5% (FDR < 0.05) were identified as fitness genes (hits) for this cell line in this CRISPR screen.,BioGRID ORCS,Cell-essential genes,Cervix / Glandular
18,27159373,pubmed,Morgens DW (2016),1-PMID27159373,18509,18509,Yes,1878,CasTLE,Score Significance,Score.2 (p-Value) <= 0.05,High Throughput,Negative Selection,Pool,Timecourse,14 Days,NA,NA,NA,"CRISPRn (Bassik, 2016)",CRISPRn,Knockout,Cas9,K-562,Chronic Myeloid Leukemia Cell Line,cell proliferation,2,CasTLE Score,p-Value,NA,NA,NA,9606,H. sapiens,"Negative CasTLE scores correspond to decreased growth, positive CasTLE scores indicate increased growth",BioGRID ORCS,Cell-essential genes and growth restrictive genes,Myeloid
27,26627737,pubmed,Hart T (2015),3-PMID26627737,17215,17215,Yes,2197,BAGEL,Score Significance,Score.1 (Bayes Factor) > 3.2,High Throughput,Negative Selection,Pool,Timecourse,18 Days,NA,NA,~ 0.3,TKO (Toronto Knockout) v1,CRISPRn,Knockout,Cas9,143B,Glioblastoma Cell Line,cell proliferation,1,Bayes Factor,NA,NA,NA,NA,9606,H. sapiens,Genes with a Bayes Factor (BF) above the threshold of 3.2 at an FDR of 5% (FDR < 0.05) were identified as fitness genes (hits) for this cell line in this CRISPR screen.,BioGRID ORCS,Cell-essential genes,Nervous
28,26627737,pubmed,Hart T (2015),4-PMID26627737,17212,17212,Yes,2038,BAGEL,Score Significance,Score.1 (Bayes Factor) > 6.84,High Throughput,Negative Selection,Pool,Timecourse,18 Days,NA,NA,~ 0.3,TKO (Toronto Knockout) v1,CRISPRn,Knockout,Cas9,hTERT-RPE1,Retinal Pigment Epithelium Cell Line,cell proliferation,1,Bayes Factor,NA,NA,NA,NA,9606,H. sapiens,Genes with a Bayes Factor (BF) above the threshold of 6.84 at an FDR of 5% (FDR < 0.05) were identified as fitness genes (hits) for this cell line in this CRISPR screen.,BioGRID ORCS,Cell-essential genes,Eye / Epithelium
29,26627737,pubmed,Hart T (2015),5-PMID26627737,17219,17219,Yes,1893,BAGEL,Score Significance,Score.1 (Bayes Factor) > 3.57,High Throughput,Negative Selection,Pool,Timecourse,18 Days,NA,NA,~ 0.3,TKO (Toronto Knockout) v1,CRISPRn,Knockout,Cas9,DLD-1,Colonic Adenocarcinoma Cell Line,cell proliferation,1,Bayes Factor,NA,NA,NA,NA,9606,H. sapiens,Genes with a Bayes Factor (BF) above the threshold of 3.57 at an FDR of 5% (FDR < 0.05) were identified as fitness genes (hits) for this cell line in this CRISPR screen.,BioGRID ORCS,Cell-essential genes,Gastrointestinal / Glandular
64,28494239,pubmed,Ma Y (2017),2-PMID28494239,87,18675,No,87,STARS,All Significant,NA,High Throughput,Negative Selection,Pool,Timecourse,21 Days,NA,NA,= 0.3,Avana,CRISPRn,Knockout,Cas9,GM12878,Epstein-Barr Virus (EBV)+ lymphoblastoid cell line (EBV latency III state),cell proliferation,4,STARS Score,p-Value,FDR,q-Value,NA,9606,H. sapiens,authors used a cut-off of  q-value < 0.05 to determine hits,BioGRID ORCS,Cell-essential genes in an Epstein-Barr Virus (EBV) latency III state,Lymphoid
65,28494239,pubmed,Ma Y (2017),1-PMID28494239,57,18675,No,57,STARS,All Significant,NA,High Throughput,Negative Selection,Pool,Timecourse,21 Days,NA,NA,= 0.3,Avana,CRISPRn,Knockout,Cas9,P3HR1,Epstein-Barr Virus (EBV)+ Burkitt lymphoma cell line (EBV latency I state),cell proliferation,4,STARS Score,p-Value,FDR,q-Value,NA,9606,H. sapiens,authors used a cut-off of  q-value < 0.05 to determine hits,BioGRID ORCS,Cell-essential genes in an Epstein-Barr Virus (EBV) latency I state,Lymphoid
