cell_type1	cell_type2	n_intersect	n_genes1	intersect_list
BileDuct-Gastrointestinal	BileDuct-Gastrointestinal	6	6	FAM86B1,NPIPA5,POLR2A,PRAMEF6,RGPD6,TRIM37
BileDuct-Gastrointestinal	Bone	4	6	FAM86B1,POLR2A,PRAMEF6,RGPD6
BileDuct-Gastrointestinal	Bone-Connective	5	6	FAM86B1,NPIPA5,POLR2A,RGPD6,TRIM37
BileDuct-Gastrointestinal	Breast	4	6	FAM86B1,NPIPA5,POLR2A,RGPD6
BileDuct-Gastrointestinal	Breast*	5	6	FAM86B1,NPIPA5,POLR2A,PRAMEF6,RGPD6
BileDuct-Gastrointestinal	Breast-Glandular	5	6	FAM86B1,NPIPA5,POLR2A,PRAMEF6,RGPD6
BileDuct-Gastrointestinal	Breast-Squamous	2	6	POLR2A,RGPD6
BileDuct-Gastrointestinal	Cervix-Glandular	1	6	POLR2A
BileDuct-Gastrointestinal	Connective	4	6	FAM86B1,NPIPA5,POLR2A,RGPD6
BileDuct-Gastrointestinal	Embryonic	0	6	
BileDuct-Gastrointestinal	Embryonic*	1	6	TRIM37
BileDuct-Gastrointestinal	Embryonic-Kidney	1	6	TRIM37
BileDuct-Gastrointestinal	Embryonic-StemCell	0	6	
BileDuct-Gastrointestinal	Epithelium*	4	6	FAM86B1,NPIPA5,POLR2A,RGPD6
BileDuct-Gastrointestinal	Eye-Epithelium	3	6	FAM86B1,POLR2A,RGPD6
BileDuct-Gastrointestinal	Gastrointestinal	6	6	FAM86B1,NPIPA5,POLR2A,PRAMEF6,RGPD6,TRIM37
BileDuct-Gastrointestinal	Gastrointestinal*	6	6	FAM86B1,NPIPA5,POLR2A,PRAMEF6,RGPD6,TRIM37
BileDuct-Gastrointestinal	Gastrointestinal-Glandular	6	6	FAM86B1,NPIPA5,POLR2A,PRAMEF6,RGPD6,TRIM37
BileDuct-Gastrointestinal	Glandular*	6	6	FAM86B1,NPIPA5,POLR2A,PRAMEF6,RGPD6,TRIM37
BileDuct-Gastrointestinal	HeadandNeck	4	6	FAM86B1,NPIPA5,POLR2A,RGPD6
BileDuct-Gastrointestinal	HeadandNeck*	6	6	FAM86B1,NPIPA5,POLR2A,PRAMEF6,RGPD6,TRIM37
BileDuct-Gastrointestinal	HeadandNeck-Glandular	4	6	FAM86B1,NPIPA5,POLR2A,RGPD6
BileDuct-Gastrointestinal	HeadandNeck-Squamous	6	6	FAM86B1,NPIPA5,POLR2A,PRAMEF6,RGPD6,TRIM37
BileDuct-Gastrointestinal	Kidney	4	6	FAM86B1,NPIPA5,POLR2A,RGPD6
BileDuct-Gastrointestinal	Liver	2	6	FAM86B1,POLR2A
BileDuct-Gastrointestinal	Lung	6	6	FAM86B1,NPIPA5,POLR2A,PRAMEF6,RGPD6,TRIM37
BileDuct-Gastrointestinal	Lung*	6	6	FAM86B1,NPIPA5,POLR2A,PRAMEF6,RGPD6,TRIM37
BileDuct-Gastrointestinal	Lung-Glandular	6	6	FAM86B1,NPIPA5,POLR2A,PRAMEF6,RGPD6,TRIM37
BileDuct-Gastrointestinal	Lung-Squamous	5	6	FAM86B1,NPIPA5,POLR2A,PRAMEF6,RGPD6
BileDuct-Gastrointestinal	Lymphoid	5	6	FAM86B1,NPIPA5,POLR2A,PRAMEF6,RGPD6
BileDuct-Gastrointestinal	Myeloid	5	6	FAM86B1,NPIPA5,POLR2A,PRAMEF6,RGPD6
BileDuct-Gastrointestinal	Nervous	6	6	FAM86B1,NPIPA5,POLR2A,PRAMEF6,RGPD6,TRIM37
BileDuct-Gastrointestinal	Nervous*	6	6	FAM86B1,NPIPA5,POLR2A,PRAMEF6,RGPD6,TRIM37
BileDuct-Gastrointestinal	Nervous-Glandular	4	6	FAM86B1,NPIPA5,POLR2A,RGPD6
BileDuct-Gastrointestinal	Nervous-StemCell	0	6	
BileDuct-Gastrointestinal	Oral	6	6	FAM86B1,NPIPA5,POLR2A,PRAMEF6,RGPD6,TRIM37
BileDuct-Gastrointestinal	Oral*	6	6	FAM86B1,NPIPA5,POLR2A,PRAMEF6,RGPD6,TRIM37
BileDuct-Gastrointestinal	Oral-Glandular	4	6	FAM86B1,NPIPA5,POLR2A,RGPD6
BileDuct-Gastrointestinal	Oral-Squamous	6	6	FAM86B1,NPIPA5,POLR2A,PRAMEF6,RGPD6,TRIM37
BileDuct-Gastrointestinal	Ovary	6	6	FAM86B1,NPIPA5,POLR2A,PRAMEF6,RGPD6,TRIM37
BileDuct-Gastrointestinal	Ovary-Glandular	6	6	FAM86B1,NPIPA5,POLR2A,PRAMEF6,RGPD6,TRIM37
BileDuct-Gastrointestinal	Pancreas	5	6	FAM86B1,NPIPA5,POLR2A,PRAMEF6,RGPD6
BileDuct-Gastrointestinal	Pancreas-Glandular	5	6	FAM86B1,NPIPA5,POLR2A,PRAMEF6,RGPD6
BileDuct-Gastrointestinal	Prostate	5	6	FAM86B1,NPIPA5,POLR2A,PRAMEF6,RGPD6
BileDuct-Gastrointestinal	Skin	0	6	
BileDuct-Gastrointestinal	Skin*	4	6	FAM86B1,NPIPA5,POLR2A,RGPD6
BileDuct-Gastrointestinal	Skin-Epithelium	4	6	FAM86B1,NPIPA5,POLR2A,RGPD6
BileDuct-Gastrointestinal	Skin-Squamous	0	6	
BileDuct-Gastrointestinal	Squamous*	6	6	FAM86B1,NPIPA5,POLR2A,PRAMEF6,RGPD6,TRIM37
BileDuct-Gastrointestinal	StemCell*	0	6	
BileDuct-Gastrointestinal	Thyroid-Glandular	1	6	POLR2A
BileDuct-Gastrointestinal	Urinary	2	6	POLR2A,RGPD6
BileDuct-Gastrointestinal	Uterus	6	6	FAM86B1,NPIPA5,POLR2A,PRAMEF6,RGPD6,TRIM37
BileDuct-Gastrointestinal	Uterus-Glandular	0	6	
Bone	BileDuct-Gastrointestinal	4	21	FAM86B1,POLR2A,PRAMEF6,RGPD6
